time,Gqw,Gqx,Gqy,Gqz,Lqw,Lqx,Lqy,Lqz,rx,ry,rz,lx,ly,lz,ax,ay,az,mx,my,mz,gx,gy,gz,temp
0.61061,0.095202,0.457624,0.821252,0.327202,0.999126,-0.037726,0.009886,-0.015055,-0.075769,0.01862,-0.030839,-0.063273,-0.017472,-0.01316,0.929395,0.134781,0.282113,-8.718497,16.640491,21.363474,-9.921898,-7.527123,-1.156959,7.751762
0.62062,0.096229,0.457655,0.820901,0.327739,0.999132,-0.037615,0.008794,-0.015566,-0.07552,0.016402,-0.031777,-0.077277,-0.024944,-0.01563,0.931617,0.118932,0.272578,-8.554502,16.464937,21.194021,-11.452332,-7.248863,-1.017828,7.526756
0.63063,0.097309,0.457637,0.82048,0.3285,0.999146,-0.037325,0.007534,-0.01607,-0.074905,0.013857,-0.032685,-0.085842,-0.029728,-0.020724,0.932543,0.10588,0.268839,-8.554502,16.464937,21.194021,-14.165377,-6.483645,-1.087393,7.589258
0.64064,0.098406,0.457531,0.820005,0.329506,0.999166,-0.03683,0.006117,-0.016513,-0.073872,0.011008,-0.033457,-0.084003,-0.037365,-0.022646,0.925506,0.100845,0.266409,-8.226513,16.464937,20.93984,-16.87842,-5.092341,-1.43522,7.464254
0.65065,0.09953,0.457307,0.819486,0.330767,0.999194,-0.036133,0.004517,-0.016869,-0.072426,0.007808,-0.034044,-0.067789,-0.041622,-0.02379,0.912914,0.107558,0.272017,-8.226513,16.464937,20.93984,-19.730593,-3.631471,-2.130872,7.35175
0.66066,0.100753,0.45698,0.818768,0.332623,0.999238,-0.034932,0.002518,-0.017216,-0.069955,0.003829,-0.03459,-0.043475,-0.031615,-0.005411,0.909951,0.137578,0.2737,-8.554502,15.938275,21.024567,-26.687115,-1.266254,-1.71348,7.426753
0.67067,0.102277,0.456533,0.817933,0.334818,0.999282,-0.033556,0.000069,-0.017601,-0.067117,-0.001043,-0.035189,-0.011876,-0.01073,0.019717,0.912729,0.181582,0.279121,-8.554502,15.938275,21.024567,-31.974072,-1.961906,-2.896089,7.126743
0.68068,0.104174,0.456001,0.816824,0.337653,0.999328,-0.031732,-0.00302,-0.018123,-0.063356,-0.007187,-0.036038,0.002264,0.004092,0.014647,0.916248,0.191837,0.297255,-8.636499,16.026052,21.278748,-41.017551,-2.101037,-2.896089,7.464254
0.69069,0.106189,0.455396,0.815631,0.340711,0.999363,-0.029754,-0.00634,-0.018647,-0.059275,-0.013782,-0.036904,-0.014101,0.00515,-0.007518,0.923469,0.164801,0.307537,-8.636499,16.026052,21.278748,-44.147984,-1.892341,-3.383046,7.226747
0.7007,0.107799,0.454904,0.814748,0.342968,0.999377,-0.028352,-0.008906,-0.019041,-0.056369,-0.018882,-0.037569,-0.058751,-0.008604,-0.000575,0.938839,0.13273,0.274261,-8.308511,15.499391,21.448202,-33.226246,-2.309732,-3.383046,7.164245
0.71071,0.109181,0.454682,0.813777,0.345125,0.999384,-0.026876,-0.01115,-0.019621,-0.053321,-0.023344,-0.038638,-0.102709,-0.04772,0.084012,0.943839,0.143731,0.170131,-8.308511,15.499391,21.448202,-31.208855,-1.822776,0.373476,7.501755
